WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201524,after,0,1,235,1,3,45,172,6,31,30,1,0,2,1
201511,after,0,1,222,2,1,29,174,7,17,9,2,0,1,0
201439,after,0,1,198,2,1,13,71,1,5,8,2,0,1,0
201336,after,0,1,143,2,2,28,66,4,14,10,2,0,2,0
201506,after,0,1,217,3,3,15,146,5,16,13,3,0,3,0
201602,after,0,1,266,0,0,8,24,5,8,3,0,0,0,0
201604,after,0,1,268,1,0,15,51,9,14,6,1,0,0,0
201517,after,0,1,228,1,1,36,84,9,19,11,1,0,0,1
201441,after,0,1,200,2,0,51,140,2,16,19,1,1,0,0
201516,after,0,1,227,4,6,28,148,9,23,18,2,2,3,3
201432,after,0,1,191,2,3,39,174,3,9,6,2,0,2,1
201317,after,0,1,124,3,1,50,56,12,7,12,3,0,1,0
201442,after,0,1,201,2,2,68,312,11,27,17,2,0,2,0
201526,after,0,1,237,2,4,25,255,5,25,37,2,0,4,0
201431,after,0,1,190,0,2,16,163,5,16,8,0,0,0,2
201423,after,0,1,182,3,1,22,156,5,13,23,2,1,1,0
201414,after,0,1,173,1,1,10,26,3,13,6,1,0,1,0
201350,after,0,1,157,2,1,13,57,3,6,9,2,0,1,0
201537,after,0,1,248,1,3,9,45,1,12,11,1,0,1,2
201533,after,0,1,244,1,3,21,84,5,18,24,1,0,3,0
201415,after,0,1,174,2,5,47,122,5,16,14,2,0,5,0
201405,after,0,1,164,2,0,10,125,6,18,27,2,0,0,0
201404,after,0,1,163,0,0,11,81,6,7,6,0,0,0,0
201613,after,0,1,277,0,0,19,120,17,29,8,0,0,0,0
201603,after,0,1,267,2,1,4,8,2,5,5,2,0,1,0
201346,after,0,1,153,1,1,14,43,1,8,8,1,0,1,0
201347,after,0,1,154,2,1,8,49,4,5,10,2,0,1,0
201445,after,0,1,204,0,0,34,163,8,30,7,0,0,0,0
201446,after,0,1,205,1,1,13,120,5,15,8,1,0,0,1
201440,after,0,1,199,1,1,17,92,3,11,10,1,0,1,0
201345,after,0,1,152,0,0,30,81,9,14,10,0,0,0,0
201538,after,0,1,249,1,2,18,166,10,20,16,1,0,2,0
201447,after,0,1,206,3,2,111,185,9,27,22,3,0,2,0
201341,after,0,1,148,2,1,28,66,3,5,10,2,0,1,0
201434,after,0,1,193,1,1,20,76,4,8,13,1,0,1,0
201448,after,0,1,207,1,1,98,306,9,37,24,1,0,1,0
201433,after,0,1,192,1,0,45,123,5,10,11,1,0,0,0
201426,after,0,1,185,0,1,22,123,4,13,21,0,0,0,1
201425,after,0,1,184,2,0,45,137,3,21,23,0,2,0,0
201334,after,0,1,141,1,1,6,124,0,4,36,0,1,0,1
201505,after,0,1,216,0,1,26,147,7,12,21,0,0,0,1
201450,after,0,1,209,1,2,25,119,4,16,21,1,0,2,0
201422,after,0,1,181,3,3,12,69,5,13,24,3,0,2,1
201421,after,0,1,180,1,0,37,53,4,4,12,0,1,0,0
201413,after,0,1,172,0,0,4,56,6,5,10,0,0,0,0
201615,after,0,1,279,0,0,33,260,16,42,20,0,0,0,0
201504,after,0,1,215,0,0,21,81,2,15,9,0,0,0,0
201502,after,0,1,213,3,1,14,88,5,10,12,3,0,1,0
201430,after,0,1,189,0,0,22,140,4,10,18,0,0,0,0
201616,after,0,1,280,2,0,16,206,14,32,25,2,0,0,0
201614,after,0,1,278,3,0,22,173,14,29,14,3,0,0,0
201612,after,0,1,276,0,0,35,248,18,38,15,0,0,0,0
201610,after,0,1,274,1,0,14,124,5,19,16,1,0,0,0
201611,after,0,1,275,1,0,25,128,10,24,21,1,0,0,0
201609,after,0,1,273,1,0,11,49,3,13,6,1,0,0,0
201608,after,0,1,272,2,0,18,96,8,20,10,2,0,0,0
201607,after,0,1,271,3,0,9,66,5,14,6,2,1,0,0
201606,after,0,1,270,0,0,11,74,10,24,11,0,0,0,0
201605,after,0,1,269,2,0,12,73,5,10,13,2,0,0,0
201601,after,0,1,265,4,5,7,55,1,9,11,4,0,5,0
201553,after,0,1,264,0,0,11,25,6,11,2,0,0,0,0
201551,after,0,1,262,0,2,17,67,4,13,16,0,0,2,0
201552,after,0,1,263,0,0,11,53,10,14,5,0,0,0,0
201550,after,0,1,261,1,2,11,109,6,17,6,1,0,1,1
201549,after,0,1,260,2,1,15,114,1,18,13,1,1,1,0
201548,after,0,1,259,3,2,19,95,7,25,13,3,0,2,0
201547,after,0,1,258,0,1,4,39,1,7,3,0,0,0,1
201545,after,0,1,256,1,1,10,116,4,13,14,1,0,1,0
201544,after,0,1,255,0,0,8,93,4,13,11,0,0,0,0
201542,after,0,1,253,0,0,15,42,4,10,9,0,0,0,0
201541,after,0,1,252,0,1,8,52,2,11,10,0,0,1,0
201539,after,0,1,250,0,0,14,68,7,15,10,0,0,0,0
201536,after,0,1,247,5,4,18,55,3,17,6,4,1,4,0
201534,after,0,1,245,2,1,11,97,4,12,15,2,0,1,0
201535,after,0,1,246,0,0,8,45,1,6,11,0,0,0,0
201532,after,0,1,243,1,4,30,237,6,37,42,1,0,2,2
