WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201616,after,0,1,70,3,0,30,21,0,17,7,2,1,0,0
201605,after,0,1,59,2,0,74,53,6,32,7,1,1,0,0
201528,after,0,1,29,3,3,91,127,7,31,29,2,1,3,0
201539,after,0,1,40,1,2,31,22,11,24,9,0,1,0,2
201534,after,0,1,35,1,2,72,80,4,25,11,0,1,1,1
201532,after,0,1,33,0,0,38,42,2,30,2,0,0,0,0
201527,after,0,1,28,3,2,91,77,7,30,16,0,3,1,1
201526,after,0,1,27,2,2,26,72,6,34,11,2,0,1,1
201518,after,0,1,19,1,1,24,37,0,28,4,0,1,1,0
201514,after,0,1,15,0,0,91,33,7,28,5,0,0,0,0
201513,after,0,1,14,1,0,35,32,0,20,6,0,1,0,0
201531,after,0,1,32,4,3,42,20,7,18,27,3,1,3,0
201604,after,0,1,58,3,0,92,86,20,37,8,3,0,0,0
201549,after,0,1,50,1,1,75,28,6,21,7,1,0,1,0
201536,after,0,1,37,0,2,22,18,0,18,3,0,0,0,2
201444,before,1,0,-7,3,0,59,28,6,9,7,3,0,0,0
201615,after,0,1,69,3,0,85,23,3,19,6,3,0,0,0
201613,after,0,1,67,0,0,62,6,0,15,1,0,0,0,0
201617,after,0,1,71,0,0,0,15,0,0,0,0,0,0,0
201612,after,0,1,66,1,0,60,35,7,25,31,0,1,0,0
201611,after,0,1,65,2,0,70,17,1,6,4,2,0,0,0
201614,after,0,1,68,3,0,51,6,0,21,5,2,1,0,0
201608,after,0,1,62,5,0,71,25,2,30,4,3,2,0,0
201607,after,0,1,61,1,0,87,20,3,18,4,0,1,0,0
201606,after,0,1,60,2,0,45,43,2,37,9,2,0,0,0
201602,after,0,1,56,0,2,68,84,8,23,4,0,0,1,1
201601,after,0,1,55,3,4,71,57,11,32,4,2,1,3,1
201603,after,0,1,57,2,3,60,84,1,15,5,1,1,3,0
201550,after,0,1,51,5,1,37,40,5,18,12,3,2,1,0
201553,after,0,1,54,2,1,69,12,0,9,1,1,1,1,0
201546,after,0,1,47,1,2,25,18,0,15,1,0,1,0,2
201544,after,0,1,45,1,1,48,36,3,16,4,1,0,1,0
201545,after,0,1,46,0,0,33,52,0,16,3,0,0,0,0
201547,after,0,1,48,2,0,67,40,10,25,1,0,2,0,0
201541,after,0,1,42,1,2,53,28,0,14,5,1,0,1,1
201542,after,0,1,43,0,1,79,36,0,11,3,0,0,1,0
201538,after,0,1,39,0,2,39,56,0,13,1,0,0,2,0
201540,after,0,1,41,3,2,54,45,0,20,5,2,1,2,0
201537,after,0,1,38,2,2,22,52,1,18,6,0,2,0,2
201543,after,0,1,44,3,5,27,28,1,16,3,2,1,2,3
201535,after,0,1,36,2,1,41,80,3,21,6,2,0,1,0
201533,after,0,1,34,0,1,67,76,1,29,2,0,0,1,0
201530,after,0,1,31,2,0,75,135,28,32,8,1,1,0,0
201529,after,0,1,30,2,2,68,98,2,16,5,1,1,1,1
201521,after,0,1,22,1,1,8,14,0,7,3,1,0,1,0
201522,after,0,1,23,2,0,35,47,2,31,7,1,1,0,0
201519,after,0,1,20,1,4,44,26,2,8,2,0,1,1,3
201509,after,0,1,10,1,3,41,84,2,27,6,1,0,2,1
201507,after,0,1,8,3,0,35,26,0,12,7,2,1,0,0
201508,after,0,1,9,6,3,98,128,4,48,37,4,2,1,2
201450,before,1,0,-1,0,0,3,4,1,2,2,0,0,0,0
201429,before,1,0,-22,3,3,43,9,2,10,4,1,2,1,2
201436,before,1,0,-15,3,1,19,11,5,6,4,2,1,0,1
201419,before,1,0,-32,2,3,60,45,8,18,14,1,1,1,2
201435,before,1,0,-16,0,0,8,7,3,2,2,0,0,0,0
201424,before,1,0,-27,4,2,17,28,1,6,10,2,2,2,0
201418,before,1,0,-33,2,0,41,21,3,12,36,0,2,0,0
201423,before,1,0,-28,4,4,33,7,7,6,5,2,2,2,2
201552,after,0,1,53,3,1,41,14,0,9,5,1,2,0,1
201548,after,0,1,49,2,2,23,24,1,6,4,2,0,1,1
201551,after,0,1,52,1,8,42,24,16,14,5,1,0,5,3
201411,before,1,0,-40,1,1,43,0,1,0,0,0,1,0,1
201412,before,1,0,-39,3,1,44,1,0,1,1,1,2,1,0
201525,after,0,1,26,5,0,43,49,9,19,7,1,4,0,0
201426,before,1,0,-25,3,2,34,26,0,8,3,3,0,2,0
201420,before,1,0,-31,0,0,5,6,2,1,3,0,0,0,0
201410,before,1,0,-41,0,1,14,0,2,0,0,0,0,0,1
201414,before,1,0,-37,0,0,54,10,8,8,0,0,0,0,0
201401,before,1,0,-50,2,3,29,0,3,0,0,0,2,0,3
201415,before,1,0,-36,0,0,28,2,3,3,0,0,0,0,0
201349,before,1,0,-54,1,0,2,1,0,0,0,0,1,0,0
201512,after,0,1,13,2,1,53,26,7,18,12,1,1,0,1
201511,after,0,1,12,0,3,54,17,0,10,3,0,0,2,1
201430,before,1,0,-21,1,1,21,4,8,1,2,1,0,1,0
201438,before,1,0,-13,2,2,30,14,3,15,12,2,0,2,0
201421,before,1,0,-30,0,0,18,6,4,2,3,0,0,0,0
201524,after,0,1,25,1,2,18,16,2,12,2,1,0,1,1
201427,before,1,0,-24,0,1,13,3,62,1,0,0,0,0,1
201447,before,1,0,-4,0,1,30,12,2,20,1,0,0,0,1
201441,before,1,0,-10,2,0,47,15,2,35,3,0,2,0,0
201610,after,0,1,64,1,0,61,8,0,15,3,0,1,0,0
201506,after,0,1,7,0,2,24,31,0,2,3,0,0,1,1
201504,after,0,1,5,0,0,18,8,0,4,2,0,0,0,0
201503,after,0,1,4,2,1,23,19,0,11,4,2,0,1,0
201445,before,1,0,-6,1,2,69,50,1,13,2,1,0,2,0
201442,before,1,0,-9,3,1,34,4,5,10,3,1,2,0,1
201502,after,0,1,3,2,1,32,13,1,5,3,2,0,1,0
201452,after,0,1,1,0,1,14,10,1,4,2,0,0,0,1
201451,during,0,0,0,2,2,18,33,6,7,6,1,1,1,1
201449,before,1,0,-2,1,1,35,23,2,15,8,1,0,1,0
201448,before,1,0,-3,0,0,15,5,0,6,2,0,0,0,0
201446,before,1,0,-5,1,1,31,14,1,19,4,1,0,1,0
201517,after,0,1,18,1,0,9,11,0,5,6,1,0,0,0
201516,after,0,1,17,6,5,44,49,3,32,5,3,3,2,3
201515,after,0,1,16,2,2,23,53,2,20,3,1,1,1,1
201440,before,1,0,-11,1,1,33,44,1,15,5,1,0,1,0
201425,before,1,0,-26,5,2,53,27,1,12,13,2,3,1,1
201437,before,1,0,-14,0,0,21,2,1,6,0,0,0,0,0
201422,before,1,0,-29,1,0,11,5,1,3,2,0,1,0,0
201439,before,1,0,-12,0,2,31,10,5,9,3,0,0,1,1
201431,before,1,0,-20,2,1,8,2,23,0,5,1,1,1,0
201609,after,0,1,63,0,0,87,12,1,19,1,0,0,0,0
201523,after,0,1,24,1,2,15,51,5,13,1,1,0,1,1
201520,after,0,1,21,1,3,15,21,2,8,4,1,0,2,1
201510,after,0,1,11,1,1,47,40,0,10,1,0,1,0,1
201505,after,0,1,6,2,0,10,16,0,6,5,2,0,0,0
201434,before,1,0,-17,0,0,14,12,1,12,4,0,0,0,0
201428,before,1,0,-23,3,1,32,9,0,1,7,2,1,1,0
201433,before,1,0,-18,1,2,13,3,0,5,1,0,1,1,1
201417,before,1,0,-34,3,2,63,49,10,26,16,2,1,1,1
201416,before,1,0,-35,2,0,66,5,10,7,25,0,2,0,0
201407,before,1,0,-44,0,0,16,0,0,0,0,0,0,0,0
201406,before,1,0,-45,0,0,16,0,1,0,0,0,0,0,0
201501,after,0,1,2,0,1,19,7,0,4,0,0,0,0,1
201413,before,1,0,-38,0,0,29,0,13,0,0,0,0,0,0
201409,before,1,0,-42,0,0,11,0,1,0,0,0,0,0,0
201405,before,1,0,-46,1,0,22,0,0,0,0,0,1,0,0
201408,before,1,0,-43,0,0,22,0,0,0,0,0,0,0,0
201432,before,1,0,-19,1,2,14,4,2,3,5,1,0,2,0
201331,before,1,0,-72,1,1,10,0,0,0,0,0,1,0,1
201330,before,1,0,-73,0,0,16,0,0,0,0,0,0,0,0
201324,before,1,0,-79,0,0,9,0,0,0,0,0,0,0,0
201320,before,1,0,-83,0,0,1,0,0,0,0,0,0,0,0
201319,before,1,0,-84,0,0,5,0,0,0,0,0,0,0,0
201317,before,1,0,-86,1,1,20,0,0,0,2,1,0,1,0
201315,before,1,0,-88,0,0,12,0,0,0,0,0,0,0,0
201313,before,1,0,-90,0,0,5,0,0,0,0,0,0,0,0
201312,before,1,0,-91,0,0,8,0,0,0,0,0,0,0,0
201310,before,1,0,-93,0,0,9,0,0,0,0,0,0,0,0
201309,before,1,0,-94,0,0,7,0,0,0,0,0,0,0,0
201308,before,1,0,-95,0,0,13,0,0,0,0,0,0,0,0
201404,before,1,0,-47,0,1,11,0,0,0,0,0,0,0,1
201352,before,1,0,-51,0,0,37,0,0,0,0,0,0,0,0
201351,before,1,0,-52,1,0,4,0,0,1,0,0,1,0,0
201346,before,1,0,-57,0,0,6,0,0,0,0,0,0,0,0
201345,before,1,0,-58,0,0,2,0,0,0,0,0,0,0,0
201343,before,1,0,-60,0,0,6,0,0,0,0,0,0,0,0
201443,before,1,0,-8,2,1,5,12,0,3,4,2,0,1,0
201340,before,1,0,-63,0,0,22,2,1,0,0,0,0,0,0
201403,before,1,0,-48,1,1,9,0,2,0,0,0,1,0,1
201402,before,1,0,-49,1,0,24,0,2,0,0,0,1,0,0
201339,before,1,0,-64,0,0,11,0,0,0,0,0,0,0,0
201322,before,1,0,-81,0,0,7,0,0,0,0,0,0,0,0
201338,before,1,0,-65,2,1,16,0,1,0,0,0,2,0,1
201347,before,1,0,-56,1,0,23,0,1,0,0,0,1,0,0
201316,before,1,0,-87,0,1,28,0,0,0,0,0,0,0,1
201337,before,1,0,-66,2,0,17,0,1,0,0,0,2,0,0
201332,before,1,0,-71,0,0,39,0,0,0,0,0,0,0,0
201342,before,1,0,-61,0,0,14,0,0,0,0,0,0,0,0
201311,before,1,0,-92,0,0,12,0,0,0,0,0,0,0,0
201341,before,1,0,-62,0,1,11,0,1,0,0,0,0,0,1
201329,before,1,0,-74,0,0,15,0,0,0,0,0,0,0,0
201314,before,1,0,-89,1,0,17,0,2,0,0,0,1,0,0
201307,before,1,0,-96,0,0,21,0,0,0,0,0,0,0,0
201306,before,1,0,-97,0,0,7,0,0,0,0,0,0,0,0
201303,before,1,0,-100,0,0,24,0,1,0,0,0,0,0,0
201305,before,1,0,-98,0,0,9,0,0,0,0,0,0,0,0
201302,before,1,0,-101,0,0,26,0,0,0,0,0,0,0,0
201304,before,1,0,-99,0,0,11,0,0,0,0,0,0,0,0
201301,before,1,0,-102,0,0,23,0,0,0,0,0,0,0,0
201248,before,1,0,-107,0,0,13,0,0,0,0,0,0,0,0
201247,before,1,0,-108,0,0,7,0,0,0,0,0,0,0,0
201249,before,1,0,-106,0,0,39,0,0,0,0,0,0,0,0
201246,before,1,0,-109,1,1,7,0,0,0,0,0,1,0,1
201244,before,1,0,-111,1,1,24,0,1,0,0,0,1,0,1
201245,before,1,0,-110,1,0,32,0,1,0,0,0,1,0,0
201243,before,1,0,-112,0,0,9,0,0,0,0,0,0,0,0
201242,before,1,0,-113,0,0,31,0,1,0,0,0,0,0,0
201348,before,1,0,-55,2,2,5,0,1,0,1,1,1,1,1
201336,before,1,0,-67,0,0,2,0,0,0,0,0,0,0,0
201344,before,1,0,-59,0,0,7,0,0,0,0,0,0,0,0
201333,before,1,0,-70,3,3,17,0,2,0,2,1,2,1,2
201335,before,1,0,-68,1,2,5,0,0,0,2,1,0,1,1
201327,before,1,0,-76,0,0,6,0,0,0,0,0,0,0,0
201326,before,1,0,-77,0,0,4,0,0,0,0,0,0,0,0
201350,before,1,0,-53,0,1,4,0,1,0,0,0,0,0,1
201328,before,1,0,-75,1,0,2,0,0,0,0,0,1,0,0
201236,before,1,0,-119,0,0,23,0,0,0,0,0,0,0,0
201235,before,1,0,-120,1,0,28,0,0,0,0,0,1,0,0
201241,before,1,0,-114,0,0,23,0,0,0,0,0,0,0,0
201238,before,1,0,-117,0,1,23,0,2,0,0,0,0,0,1
201237,before,1,0,-118,0,0,30,0,0,0,0,0,0,0,0
201234,before,1,0,-121,2,4,42,0,2,0,0,0,2,0,4
201232,before,1,0,-123,0,0,41,0,0,0,0,0,0,0,0
201233,before,1,0,-122,0,0,34,0,0,0,0,0,0,0,0
201231,before,1,0,-124,0,0,145,0,0,0,0,0,0,0,0
201230,before,1,0,-125,1,0,21,0,1,0,0,0,1,0,0
201227,before,1,0,-128,2,0,21,0,0,0,0,0,2,0,0
201239,before,1,0,-116,0,1,13,0,0,0,0,0,0,0,1
201229,before,1,0,-126,0,1,15,0,0,0,0,0,0,0,1
201225,before,1,0,-130,1,0,12,0,0,0,0,0,1,0,0
201228,before,1,0,-127,1,0,17,0,0,0,0,0,1,0,0
201218,before,1,0,-137,1,0,29,0,2,0,0,0,1,0,0
201107,before,1,0,-200,0,0,17,0,0,0,0,0,0,0,0
201106,before,1,0,-201,0,0,8,0,0,0,0,0,0,0,0
201105,before,1,0,-202,1,0,14,0,0,0,0,0,1,0,0
201108,before,1,0,-199,2,2,12,0,2,0,0,0,2,0,2
201016,before,1,0,-243,1,1,74,0,0,0,0,0,1,0,1
201128,before,1,0,-179,0,1,11,0,0,0,0,0,0,0,1
201127,before,1,0,-180,0,0,21,0,0,0,0,0,0,0,0
201118,before,1,0,-189,1,0,11,0,0,0,0,0,1,0,0
201116,before,1,0,-191,1,1,21,0,0,0,0,0,1,0,1
201325,before,1,0,-78,0,0,4,0,0,0,0,0,0,0,0
201323,before,1,0,-80,0,0,10,0,0,0,0,0,0,0,0
201252,before,1,0,-103,0,0,12,0,0,0,0,0,0,0,0
201251,before,1,0,-104,0,0,3,0,0,0,0,0,0,0,0
201240,before,1,0,-115,0,0,15,0,0,0,0,0,0,0,0
201226,before,1,0,-129,0,0,8,0,0,0,0,0,0,0,0
201221,before,1,0,-134,1,0,11,0,1,0,0,0,1,0,0
201224,before,1,0,-131,0,0,6,0,0,0,0,0,0,0,0
201223,before,1,0,-132,0,0,12,0,0,0,0,0,0,0,0
201222,before,1,0,-133,0,0,11,0,0,0,0,0,0,0,0
201318,before,1,0,-85,0,0,1,0,0,0,0,0,0,0,0
201321,before,1,0,-82,0,0,5,0,1,0,0,0,0,0,0
201217,before,1,0,-138,0,0,25,0,0,0,0,0,0,0,0
201220,before,1,0,-135,0,0,3,0,0,0,0,0,0,0,0
201219,before,1,0,-136,0,0,2,0,0,0,0,0,0,0,0
201216,before,1,0,-139,0,0,4,0,0,0,0,0,0,0,0
201215,before,1,0,-140,0,0,11,0,0,0,0,0,0,0,0
201212,before,1,0,-143,1,0,21,0,2,0,0,0,1,0,0
