WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201510,before,1,0,-32,59,52,58,306,31,56,41,46,13,37,15
201614,after,0,1,25,61,0,146,680,36,103,103,57,4,0,0
201527,before,1,0,-15,64,71,180,1001,78,80,73,53,11,58,13
201603,after,0,1,14,154,193,118,899,31,87,146,142,12,163,30
201542,during,0,0,0,77,91,154,702,58,109,104,66,11,68,23
201604,after,0,1,15,118,0,93,780,35,74,159,104,14,0,0
201540,before,1,0,-2,73,87,164,784,68,85,75,60,13,73,14
201537,before,1,0,-5,56,61,116,560,46,89,73,44,12,51,10
201541,before,1,0,-1,68,78,147,411,44,83,75,51,17,60,18
201536,before,1,0,-6,83,89,140,697,53,79,101,78,5,76,13
201534,before,1,0,-8,88,95,121,489,37,64,88,71,17,73,22
201533,before,1,0,-9,75,70,147,436,56,57,70,65,10,58,12
201529,before,1,0,-13,60,64,175,598,44,75,62,47,13,51,13
201524,before,1,0,-18,73,66,172,506,57,61,66,57,16,54,12
201523,before,1,0,-19,70,74,175,655,90,82,70,60,10,53,21
201522,before,1,0,-20,47,51,141,279,44,68,45,38,9,40,11
201521,before,1,0,-21,81,56,121,402,40,66,73,65,16,45,11
201520,before,1,0,-22,63,61,341,469,48,69,50,45,18,47,14
201519,before,1,0,-23,71,70,153,418,49,87,62,53,18,60,10
201517,before,1,0,-25,69,46,82,320,40,65,57,56,13,37,9
201531,before,1,0,-11,74,96,203,841,68,93,119,62,12,73,23
201516,before,1,0,-26,74,73,137,368,68,98,69,53,21,53,20
201513,before,1,0,-29,90,78,119,464,50,73,51,67,23,64,14
201514,before,1,0,-28,70,59,130,358,37,92,50,56,14,43,16
201511,before,1,0,-31,55,57,90,347,27,58,51,40,15,48,9
201509,before,1,0,-33,73,70,81,329,29,58,44,59,14,59,11
201526,before,1,0,-16,72,77,137,951,57,78,78,57,15,60,17
201508,before,1,0,-34,60,43,112,328,43,71,62,48,12,31,12
201535,before,1,0,-7,89,89,163,548,76,86,96,70,19,69,20
201452,before,1,0,-42,28,18,42,152,14,39,28,21,7,16,2
201518,before,1,0,-24,91,87,125,339,21,59,72,76,15,74,13
201450,before,1,0,-44,72,57,87,323,34,77,63,49,23,44,13
201447,before,1,0,-47,47,31,49,200,11,43,35,39,8,25,6
201448,before,1,0,-46,45,37,81,256,10,62,56,38,7,31,6
201449,before,1,0,-45,63,49,102,286,30,69,61,49,14,39,10
201445,before,1,0,-49,57,40,66,195,15,48,42,37,20,31,9
201441,before,1,0,-53,52,48,71,216,17,46,56,43,9,36,12
201440,before,1,0,-54,58,70,145,1020,26,157,97,39,19,52,18
201439,before,1,0,-55,44,42,124,313,15,71,48,36,8,34,8
201438,before,1,0,-56,44,30,108,262,31,53,39,33,11,25,5
201530,before,1,0,-12,73,104,219,1025,93,109,85,54,19,69,35
201437,before,1,0,-57,43,38,123,330,31,49,40,36,7,31,7
201434,before,1,0,-60,46,42,125,307,37,50,41,37,9,31,11
201433,before,1,0,-61,66,55,99,389,35,54,62,43,23,43,12
201432,before,1,0,-62,57,46,189,494,152,69,59,46,11,36,10
201430,before,1,0,-64,53,48,86,364,18,44,46,45,8,37,11
201429,before,1,0,-65,64,44,114,314,63,65,35,47,17,31,13
201427,before,1,0,-67,41,31,89,174,26,51,16,31,10,18,13
201425,before,1,0,-69,47,39,335,303,194,59,46,27,20,23,16
201424,before,1,0,-70,49,36,84,204,37,59,29,33,16,23,13
201423,before,1,0,-71,45,30,75,228,23,33,37,30,15,25,5
201428,before,1,0,-66,35,28,82,256,34,38,32,31,4,23,5
201422,before,1,0,-72,34,30,75,274,26,55,33,25,9,20,10
201421,before,1,0,-73,57,34,99,324,22,53,43,40,17,28,6
201420,before,1,0,-74,42,27,99,263,11,44,39,29,13,22,5
201419,before,1,0,-75,37,27,100,264,40,44,45,27,10,21,6
201418,before,1,0,-76,38,26,98,309,25,57,47,27,11,18,8
201416,before,1,0,-78,40,41,128,323,24,74,42,30,10,35,6
201415,before,1,0,-79,45,34,132,200,16,44,51,29,16,25,9
201414,before,1,0,-80,39,29,196,321,75,64,46,29,10,23,6
201413,before,1,0,-81,49,37,201,472,122,74,54,32,17,23,14
201412,before,1,0,-82,40,41,232,494,71,77,48,28,12,28,13
201411,before,1,0,-83,66,46,409,672,276,94,62,43,23,36,10
201409,before,1,0,-85,46,33,254,343,52,56,45,30,16,18,15
201426,before,1,0,-68,50,40,102,250,45,60,35,34,16,29,11
201408,before,1,0,-86,43,27,205,283,28,61,47,24,19,15,12
201406,before,1,0,-88,35,32,162,262,63,51,23,22,13,22,10
201405,before,1,0,-89,28,22,108,272,75,40,42,19,9,15,7
201404,before,1,0,-90,42,15,159,276,47,54,40,21,21,10,5
201403,before,1,0,-91,32,22,158,240,62,54,38,17,15,14,8
201402,before,1,0,-92,47,37,68,286,33,45,40,33,14,31,6
201351,before,1,0,-95,30,27,115,240,41,53,46,20,10,17,10
201350,before,1,0,-96,32,17,114,272,35,52,33,16,16,12,5
201349,before,1,0,-97,47,26,172,398,58,59,46,31,16,16,10
201348,before,1,0,-98,35,15,114,267,16,36,39,21,14,12,3
201347,before,1,0,-99,35,30,142,325,48,55,54,24,11,19,11
201346,before,1,0,-100,29,30,165,290,130,37,33,20,9,20,10
201345,before,1,0,-101,26,10,132,218,80,40,33,17,9,6,4
201344,before,1,0,-102,32,18,201,363,47,61,49,20,12,10,8
201343,before,1,0,-103,24,8,96,289,52,29,54,14,10,4,4
201342,before,1,0,-104,34,28,245,387,94,54,66,17,17,19,9
