WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201531,after,0,1,65,20,15,274,594,44,149,11,5,15,6,9
201535,after,0,1,69,27,17,399,568,81,124,10,2,25,1,16
201549,after,0,1,83,93,0,1540,622,1182,157,11,9,84,0,0
201604,after,0,1,91,2,0,0,128,0,0,0,2,0,0,0
201344,before,1,0,-26,8,3,440,78,93,61,1,1,7,0,3
201551,after,0,1,85,53,0,1144,579,1477,126,3,3,50,0,0
201547,after,0,1,81,99,0,1625,488,1510,152,5,4,95,0,0
201550,after,0,1,84,65,0,1186,661,1094,143,10,7,58,0,0
201528,after,0,1,62,15,12,259,612,60,127,9,8,7,7,5
201534,after,0,1,68,22,17,285,467,59,81,3,1,21,4,13
201532,after,0,1,66,16,5,309,605,72,129,4,2,14,2,3
201536,after,0,1,70,33,25,418,837,138,157,5,6,27,3,22
201527,after,0,1,61,11,10,238,429,35,114,9,1,10,3,7
201530,after,0,1,64,10,9,280,483,40,115,10,3,7,2,7
201526,after,0,1,60,7,13,249,519,29,99,9,3,4,5,8
201524,after,0,1,58,14,10,352,643,36,109,8,6,8,3,7
201525,after,0,1,59,36,29,323,525,54,145,5,6,30,7,22
201503,after,0,1,37,6,3,449,452,118,91,1,1,5,1,2
201529,after,0,1,63,19,14,289,625,47,141,6,6,13,7,7
201523,after,0,1,57,7,8,229,502,26,127,4,4,3,4,4
201520,after,0,1,54,9,7,231,674,50,106,2,4,5,3,4
201446,after,0,1,28,6,8,418,250,84,100,1,0,6,1,7
201516,after,0,1,50,9,7,208,457,31,102,3,2,7,1,6
201515,after,0,1,49,10,8,219,411,54,92,3,4,6,4,4
201502,after,0,1,36,10,4,326,368,94,100,4,3,7,1,3
201441,after,0,1,23,7,5,370,161,33,89,2,3,4,3,2
201513,after,0,1,47,8,11,237,420,46,105,5,5,3,3,8
201439,after,0,1,21,4,4,318,188,35,66,3,2,2,2,2
201512,after,0,1,46,9,6,334,638,82,155,1,0,9,2,4
201504,after,0,1,38,17,12,400,492,136,140,4,4,13,3,9
201510,after,0,1,44,11,7,366,442,68,114,15,7,4,4,3
201451,after,0,1,33,7,3,378,361,94,91,4,2,5,1,2
201436,after,0,1,18,8,3,270,120,26,63,1,2,6,1,2
201509,after,0,1,43,3,3,405,454,73,103,4,0,3,0,3
201508,after,0,1,42,7,11,260,253,60,68,6,5,2,4,7
201448,after,0,1,30,3,4,212,202,45,72,3,2,1,2,2
201435,after,0,1,17,5,6,370,159,218,93,0,1,4,2,4
201507,after,0,1,41,7,10,298,465,88,101,1,2,5,2,8
201505,after,0,1,39,11,13,338,512,69,94,4,5,6,4,9
201434,after,0,1,16,7,6,330,126,198,69,0,2,5,2,4
201433,after,0,1,15,5,2,422,100,46,72,0,0,5,0,2
201428,after,0,1,10,4,3,296,130,51,49,2,0,4,0,3
201543,after,0,1,77,117,0,1730,428,1430,146,4,6,111,0,0
201514,after,0,1,48,12,6,217,369,33,94,4,5,7,3,3
201511,after,0,1,45,13,11,342,366,101,120,3,3,10,4,7
201548,after,0,1,82,55,0,1022,680,841,107,2,6,49,0,0
201521,after,0,1,55,5,2,162,348,35,71,3,2,3,1,1
201450,after,0,1,32,6,4,391,434,60,100,1,0,6,0,4
201444,after,0,1,26,8,2,249,133,71,66,3,3,5,0,2
201423,after,0,1,5,8,7,290,96,64,54,3,3,5,2,5
201409,before,1,0,-9,0,0,358,64,18,60,0,0,0,0,0
201401,before,1,0,-17,5,6,296,67,52,45,0,1,4,2,4
201349,before,1,0,-21,4,3,553,81,47,53,0,0,4,1,2
201350,before,1,0,-20,8,2,419,99,58,38,2,0,8,0,2
201352,before,1,0,-18,3,0,251,53,20,30,2,0,3,0,0
201317,before,1,0,-53,2,2,311,43,16,21,0,1,1,0,2
201227,before,1,0,-95,41,33,1397,10,907,8,1,0,41,0,33
201240,before,1,0,-82,48,54,1512,17,1020,2,1,1,47,0,54
201404,before,1,0,-14,4,2,249,48,20,44,0,0,4,0,2
201403,before,1,0,-15,1,3,450,54,48,53,0,0,1,0,3
201542,after,0,1,76,152,0,1996,360,1816,127,1,1,151,0,0
201552,after,0,1,86,24,0,797,260,982,95,3,2,22,0,0
201541,after,0,1,75,128,0,1181,346,379,101,1,2,126,0,0
201540,after,0,1,74,54,38,688,472,84,130,2,0,54,2,36
201539,after,0,1,73,46,38,539,536,45,145,2,3,43,4,34
201538,after,0,1,72,39,18,477,439,35,132,6,7,32,4,14
201544,after,0,1,78,112,0,1575,414,1135,145,4,4,108,0,0
201603,after,0,1,90,3,0,0,90,0,0,0,3,0,0,0
201537,after,0,1,71,34,22,276,611,46,120,2,7,27,4,18
201606,after,0,1,93,1,0,0,72,0,0,0,1,0,0,0
201533,after,0,1,67,25,20,232,414,45,113,21,6,19,7,13
201609,after,0,1,96,1,0,0,27,0,0,0,1,0,0,0
201522,after,0,1,56,5,9,220,563,41,105,3,3,2,5,4
201519,after,0,1,53,2,8,299,583,33,155,0,0,2,1,7
201518,after,0,1,52,7,6,214,371,39,113,2,3,4,3,3
201517,after,0,1,51,6,6,211,333,46,95,3,2,4,2,4
201506,after,0,1,40,10,11,406,476,87,133,3,5,5,6,5
