WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201616,after,0,1,84,1,0,147,7,1,45,2,0,1,0,0
201433,before,1,0,-4,0,1,143,3,4,7,0,0,0,0,1
201546,after,0,1,61,0,0,144,19,2,14,1,0,0,0,0
201434,before,1,0,-3,0,0,146,7,2,13,0,0,0,0,0
201432,before,1,0,-5,1,1,136,14,2,14,2,0,1,0,1
201349,before,1,0,-40,1,1,170,27,12,17,0,0,1,0,1
201343,before,1,0,-46,0,0,99,15,4,19,16,0,0,0,0
201248,before,1,0,-93,3,4,199,15,5,11,1,1,2,1,3
201611,after,0,1,79,2,0,97,18,3,20,0,1,1,0,0
201552,after,0,1,67,1,0,65,38,0,8,0,0,1,0,0
201545,after,0,1,60,0,0,64,45,2,12,1,0,0,0,0
201612,after,0,1,80,0,0,129,41,3,23,1,0,0,0,0
201352,before,1,0,-37,0,0,53,3,0,8,0,0,0,0,0
201406,before,1,0,-31,1,2,219,29,1,31,0,1,0,2,0
201307,before,1,0,-82,0,0,480,5,10,7,0,0,0,0,0
201315,before,1,0,-74,0,1,281,0,2,6,0,0,0,0,1
201341,before,1,0,-48,0,0,161,37,4,55,0,0,0,0,0
201244,before,1,0,-97,4,3,239,9,4,4,2,1,3,1,2
201610,after,0,1,78,2,0,102,19,0,25,4,2,0,0,0
201544,after,0,1,59,1,1,42,38,5,25,0,1,0,1,0
201450,after,0,1,13,0,0,117,5,2,17,0,0,0,0,0
201438,after,0,1,1,0,0,143,18,9,27,0,0,0,0,0
201439,after,0,1,2,0,1,142,27,2,37,0,0,0,0,1
201436,before,1,0,-1,1,0,166,14,0,19,0,0,1,0,0
201414,before,1,0,-23,1,1,260,17,7,25,0,0,1,0,1
201351,before,1,0,-38,0,0,201,26,12,27,0,0,0,0,0
201344,before,1,0,-45,0,2,118,59,8,46,1,0,0,0,2
201348,before,1,0,-41,0,0,80,4,2,4,0,0,0,0,0
201340,before,1,0,-49,3,2,140,49,2,26,1,1,2,1,1
201346,before,1,0,-43,1,1,141,15,1,29,1,0,1,0,1
201614,after,0,1,82,0,0,130,35,1,26,1,0,0,0,0
201607,after,0,1,75,0,0,126,71,0,16,0,0,0,0,0
201533,after,0,1,48,2,1,62,6,2,9,1,1,1,0,1
201532,after,0,1,47,0,0,130,9,2,12,0,0,0,0,0
201526,after,0,1,41,0,0,138,14,1,4,0,0,0,0,0
201524,after,0,1,39,0,0,117,20,4,12,1,0,0,0,0
201523,after,0,1,38,0,1,136,4,1,15,3,0,0,0,1
201601,after,0,1,69,0,0,49,17,0,10,1,0,0,0,0
201451,after,0,1,14,1,0,182,14,1,16,0,0,1,0,0
201447,after,0,1,10,1,2,104,40,8,23,0,0,1,0,2
201445,after,0,1,8,0,0,140,59,3,39,8,0,0,0,0
201510,after,0,1,25,0,0,137,38,12,8,0,0,0,0,0
201444,after,0,1,7,0,1,171,37,5,42,0,0,0,0,1
201420,before,1,0,-17,0,0,251,26,11,38,0,0,0,0,0
201504,after,0,1,19,0,1,111,8,1,9,0,0,0,0,1
201502,after,0,1,17,1,2,116,14,6,18,0,0,1,0,2
201440,after,0,1,3,1,1,172,35,7,42,0,0,1,0,1
201604,after,0,1,72,0,0,80,69,0,11,1,0,0,0,0
201609,after,0,1,77,0,0,86,61,8,15,0,0,0,0,0
201531,after,0,1,46,1,1,74,18,4,20,0,0,1,0,1
201530,after,0,1,45,2,0,109,8,2,10,0,1,1,0,0
201549,after,0,1,64,0,0,56,31,1,11,2,0,0,0,0
201429,before,1,0,-8,1,0,150,12,16,11,1,0,1,0,0
201503,after,0,1,18,2,1,146,22,9,16,0,0,2,0,1
201448,after,0,1,11,0,1,43,12,1,9,0,0,0,0,1
201410,before,1,0,-27,3,3,338,33,5,56,0,1,2,1,2
201547,after,0,1,62,1,0,144,45,2,16,6,0,1,0,0
201416,before,1,0,-21,1,2,243,26,10,46,1,1,0,1,1
201401,before,1,0,-36,0,0,37,8,7,5,0,0,0,0,0
201419,before,1,0,-18,1,1,240,64,9,43,0,0,1,0,1
201409,before,1,0,-28,2,2,289,55,7,56,0,0,2,0,2
201418,before,1,0,-19,0,0,218,20,8,46,0,0,0,0,0
201408,before,1,0,-29,3,3,213,52,4,30,2,0,3,0,3
201537,after,0,1,52,1,0,114,34,2,28,0,0,1,0,0
201535,after,0,1,50,2,1,73,11,0,14,0,0,2,0,1
201415,before,1,0,-22,0,0,246,60,3,54,0,0,0,0,0
201338,before,1,0,-51,0,0,169,79,6,38,8,0,0,0,0
201337,before,1,0,-52,0,2,172,50,3,38,1,0,0,0,2
201402,before,1,0,-35,1,0,184,14,6,25,2,1,0,0,0
