WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201551,after,0,1,63,1,0,19,25,13,18,0,1,0,0,0
201440,during,0,0,0,0,0,37,6,0,9,0,0,0,0,0
201439,before,1,0,-1,0,0,26,2,0,3,0,0,0,0,0
201438,before,1,0,-2,0,1,19,3,0,4,0,0,0,0,1
201436,before,1,0,-4,0,0,20,8,0,5,1,0,0,0,0
201534,after,0,1,46,0,2,12,40,12,8,1,0,0,1,1
201531,after,0,1,43,1,0,15,29,7,10,0,0,1,0,0
201445,after,0,1,5,0,0,25,5,0,2,0,0,0,0,0
201429,before,1,0,-11,0,0,17,2,0,3,0,0,0,0,0
201422,before,1,0,-18,0,0,36,9,0,9,0,0,0,0,0
201419,before,1,0,-21,0,0,65,8,0,10,0,0,0,0,0
201434,before,1,0,-6,0,0,14,1,0,2,0,0,0,0,0
201433,before,1,0,-7,1,0,20,0,0,2,0,0,1,0,0
201421,before,1,0,-19,0,0,43,3,0,3,0,0,0,0,0
201420,before,1,0,-20,0,0,46,6,0,4,0,0,0,0,0
201431,before,1,0,-9,0,0,12,1,0,1,0,0,0,0,0
201443,after,0,1,3,1,1,33,12,0,6,0,1,0,1,0
201418,before,1,0,-22,0,0,89,12,0,14,0,0,0,0,0
201441,after,0,1,1,0,0,32,8,0,1,0,0,0,0,0
201426,before,1,0,-14,1,0,24,4,0,4,1,1,0,0,0
201423,before,1,0,-17,0,0,12,6,1,3,0,0,0,0,0
201417,before,1,0,-23,0,0,55,20,0,8,0,0,0,0,0
201407,before,1,0,-33,0,0,73,2,0,3,0,0,0,0,0
201416,before,1,0,-24,0,0,57,9,0,8,0,0,0,0,0
201415,before,1,0,-25,0,2,39,3,0,5,0,0,0,0,2
201414,before,1,0,-26,0,1,81,10,0,11,0,0,0,0,1
201413,before,1,0,-27,2,1,79,4,0,4,1,1,1,1,0
201410,before,1,0,-30,3,1,21,1,0,0,0,0,3,0,1
201409,before,1,0,-31,0,0,24,0,0,1,0,0,0,0,0
201408,before,1,0,-32,0,1,39,0,0,0,0,0,0,0,1
201430,before,1,0,-10,0,0,5,2,0,1,0,0,0,0,0
201405,before,1,0,-35,1,0,35,3,0,4,0,0,1,0,0
201548,after,0,1,60,1,0,27,35,0,15,0,0,1,0,0
201406,before,1,0,-34,0,0,28,0,0,0,0,0,0,0,0
201527,after,0,1,39,0,0,7,16,0,6,0,0,0,0,0
201525,after,0,1,37,1,1,33,21,0,9,0,0,1,0,1
