WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201610,after,0,1,231,2,0,128,15,37,10,0,0,2,0,0
201609,after,0,1,230,0,0,56,4,31,14,0,0,0,0,0
201338,after,0,1,102,3,0,32,6,26,2,0,1,2,0,0
201339,after,0,1,103,2,1,14,4,10,0,0,0,2,1,0
201348,after,0,1,112,0,0,70,0,28,0,0,0,0,0,0
201341,after,0,1,105,0,0,54,8,15,0,0,0,0,0,0
201340,after,0,1,104,2,0,69,3,21,1,0,0,2,0,0
201347,after,0,1,111,0,0,45,30,26,5,0,0,0,0,0
201404,after,0,1,120,4,0,41,2,38,1,0,0,4,0,0
201424,after,0,1,140,0,2,60,3,62,1,0,0,0,1,1
201346,after,0,1,110,2,1,67,5,30,4,0,0,2,0,1
201415,after,0,1,131,3,0,45,1,23,1,0,0,3,0,0
201337,after,0,1,101,0,0,27,7,12,1,0,0,0,0,0
201402,after,0,1,118,0,1,21,0,18,0,0,0,0,0,1
201336,after,0,1,100,1,1,23,5,38,1,0,0,1,0,1
201403,after,0,1,119,0,0,17,2,25,1,0,0,0,0,0
201413,after,0,1,129,4,1,83,7,19,1,5,1,3,1,0
201345,after,0,1,109,3,1,73,1,8,0,0,0,3,0,1
201344,after,0,1,108,0,0,23,3,12,0,0,0,0,0,0
201335,after,0,1,99,3,1,31,2,21,1,0,0,3,0,1
201411,after,0,1,127,6,3,23,3,9,3,0,2,4,2,1
201343,after,0,1,107,0,0,76,7,11,1,0,0,0,0,0
201351,after,0,1,115,0,2,22,0,21,0,0,0,0,0,2
201334,after,0,1,98,1,0,39,0,19,0,0,0,1,0,0
201409,after,0,1,125,1,0,17,2,14,1,2,1,0,0,0
201350,after,0,1,114,1,2,50,0,18,0,0,0,1,0,2
201342,after,0,1,106,0,0,59,3,24,1,1,0,0,0,0
201349,after,0,1,113,1,0,82,1,20,1,0,0,1,0,0
201407,after,0,1,123,3,2,27,4,35,1,1,0,3,0,2
201333,after,0,1,97,1,2,25,2,18,3,0,0,1,0,2
201332,after,0,1,96,0,0,28,1,12,0,0,0,0,0,0
201326,after,0,1,90,2,3,28,10,16,8,0,1,1,1,2
201331,after,0,1,95,1,2,58,7,47,4,0,0,1,0,2
201330,after,0,1,94,1,0,31,5,32,1,0,0,1,0,0
201324,after,0,1,88,0,0,10,0,13,0,0,0,0,0,0
201323,after,0,1,87,0,0,14,0,21,0,0,0,0,0,0
201322,after,0,1,86,0,0,19,0,28,0,0,0,0,0,0
201328,after,0,1,92,0,2,22,1,22,0,0,0,0,1,1
201321,after,0,1,85,2,0,40,9,28,2,0,0,2,0,0
201327,after,0,1,91,2,0,21,4,18,2,0,0,2,0,0
201325,after,0,1,89,0,1,15,0,13,2,0,0,0,0,1
201320,after,0,1,84,1,1,31,8,25,2,0,0,1,0,1
201319,after,0,1,83,2,0,22,4,9,2,0,0,2,0,0
201551,after,0,1,219,2,2,58,12,24,10,1,0,2,0,2
201547,after,0,1,215,1,2,59,24,42,5,5,0,1,0,2
201548,after,0,1,216,2,3,75,19,31,13,7,1,1,1,2
201417,after,0,1,133,2,2,63,4,25,0,0,0,2,0,2
201408,after,0,1,124,0,0,17,0,11,0,0,0,0,0,0
201412,after,0,1,128,2,2,68,3,10,1,0,0,2,0,2
201524,after,0,1,192,2,4,101,6,50,6,3,1,1,2,2
201426,after,0,1,142,0,0,50,3,20,2,0,0,0,0,0
201406,after,0,1,122,1,3,45,21,45,7,0,0,1,0,3
201405,after,0,1,121,1,2,32,3,8,1,0,0,1,0,2
201422,after,0,1,138,1,0,59,3,40,4,0,1,0,0,0
201534,after,0,1,202,5,6,68,12,29,10,3,3,2,2,4
201450,after,0,1,166,0,2,25,9,11,0,0,0,0,0,2
201515,after,0,1,183,2,1,79,7,78,0,2,0,2,0,1
201420,after,0,1,136,3,1,50,3,33,1,1,1,2,1,0
201513,after,0,1,181,2,0,55,1,45,2,0,0,2,0,0
201514,after,0,1,182,4,0,70,5,91,4,1,0,4,0,0
201418,after,0,1,134,1,1,72,8,176,2,0,0,1,0,1
201318,after,0,1,82,2,1,28,9,32,3,0,1,1,0,1
201504,after,0,1,172,1,3,15,5,20,1,0,1,0,2,1
201414,after,0,1,130,1,2,45,18,18,0,0,0,1,0,2
201445,after,0,1,161,3,2,26,3,15,2,1,2,1,1,1
201317,after,0,1,81,2,0,30,12,11,4,0,0,2,0,0
201443,after,0,1,159,1,0,34,4,18,5,0,0,1,0,0
201316,after,0,1,80,1,0,15,9,6,1,0,0,1,0,0
201314,after,0,1,78,2,0,31,13,27,2,0,0,2,0,0
201435,after,0,1,151,0,1,31,2,29,2,0,0,0,0,1
201313,after,0,1,77,3,2,22,6,7,5,0,0,3,0,2
201312,after,0,1,76,3,1,29,15,18,3,0,1,2,0,1
201429,after,0,1,145,0,2,28,3,29,2,0,0,0,0,2
201430,after,0,1,146,0,0,20,1,19,0,0,0,0,0,0
201329,after,0,1,93,0,0,18,2,17,1,0,0,0,0,0
201427,after,0,1,143,2,2,53,2,33,2,0,0,2,0,2
201311,after,0,1,75,2,0,20,16,13,2,0,1,1,0,0
201310,after,0,1,74,2,1,23,13,10,3,0,0,2,1,0
201309,after,0,1,73,2,3,66,8,20,5,0,1,1,1,2
201423,after,0,1,139,0,1,49,2,37,1,0,0,0,0,1
201444,after,0,1,160,1,1,53,1,39,0,1,0,1,0,1
201308,after,0,1,72,0,0,48,0,32,0,0,0,0,0,0
201307,after,0,1,71,2,0,25,0,13,0,0,0,2,0,0
201616,after,0,1,237,2,0,17,8,18,5,1,1,1,0,0
201611,after,0,1,232,1,0,73,25,39,18,0,0,1,0,0
201615,after,0,1,236,2,0,24,16,23,7,5,2,0,0,0
201607,after,0,1,228,0,0,38,21,26,10,3,0,0,0,0
201535,after,0,1,203,4,2,47,12,41,9,4,0,4,0,2
201442,after,0,1,158,0,0,22,4,7,6,0,0,0,0,0
201605,after,0,1,226,0,0,52,10,29,2,0,0,0,0,0
201603,after,0,1,224,2,0,59,12,14,8,4,1,1,0,0
201608,after,0,1,229,1,0,63,8,37,15,4,0,1,0,0
201601,after,0,1,222,0,2,41,3,15,5,8,0,0,0,2
201509,after,0,1,177,1,3,48,4,23,2,1,0,1,1,2
201510,after,0,1,178,1,2,101,3,37,0,0,0,1,1,1
201536,after,0,1,204,2,3,58,11,28,2,5,2,0,1,2
201541,after,0,1,209,1,1,49,2,24,7,0,0,1,0,1
201613,after,0,1,234,3,0,59,30,24,12,7,2,1,0,0
201523,after,0,1,191,6,4,73,2,41,5,0,0,6,0,4
201612,after,0,1,233,1,0,39,9,24,9,1,1,0,0,0
201449,after,0,1,165,2,1,27,0,27,1,0,1,1,0,1
201522,after,0,1,190,2,2,72,0,61,1,0,1,1,1,1
201540,after,0,1,208,3,3,72,3,20,8,2,2,1,2,1
201537,after,0,1,205,1,3,93,19,25,6,3,0,1,1,2
201511,after,0,1,179,2,2,52,1,32,2,1,1,1,0,2
201440,after,0,1,156,1,0,38,1,21,0,0,0,1,0,0
201506,after,0,1,174,2,1,62,0,22,1,0,1,1,1,0
201550,after,0,1,218,0,0,38,3,29,7,1,0,0,0,0
201549,after,0,1,217,1,4,55,16,29,6,3,1,0,1,3
201532,after,0,1,200,0,2,69,3,26,5,1,0,0,0,2
201505,after,0,1,173,5,3,28,0,16,0,0,0,5,0,3
201237,after,0,1,49,0,1,14,0,7,0,0,0,0,0,1
201231,after,0,1,43,4,2,26,0,32,0,0,0,4,0,2
201213,after,0,1,25,1,0,44,0,34,0,0,0,1,0,0
201211,after,0,1,23,0,0,46,0,69,0,0,0,0,0,0
201210,after,0,1,22,2,1,42,0,32,1,0,0,2,0,1
201208,after,0,1,20,1,1,49,0,40,0,0,0,1,0,1
201205,after,0,1,17,0,1,13,0,14,0,0,0,0,0,1
201136,before,1,0,-4,2,1,31,0,24,1,0,0,2,0,1
201533,after,0,1,201,2,3,69,5,35,6,2,0,2,0,3
201516,after,0,1,184,3,1,119,7,34,4,0,0,3,0,1
201512,after,0,1,180,0,0,126,0,61,0,0,0,0,0,0
201501,after,0,1,169,0,0,21,0,11,0,0,0,0,0,0
201436,after,0,1,152,0,1,26,0,27,0,0,0,0,0,1
201401,after,0,1,117,1,2,19,0,13,0,0,0,1,0,2
201525,after,0,1,193,1,0,80,0,48,0,0,0,1,0,0
201521,after,0,1,189,2,1,136,2,21,24,1,0,2,0,1
201519,after,0,1,187,2,2,84,2,119,2,0,1,1,1,1
201518,after,0,1,186,0,1,75,0,64,0,0,0,0,0,1
201447,after,0,1,163,1,2,32,5,30,0,1,0,1,1,1
201528,after,0,1,196,2,1,81,4,48,1,0,1,1,1,0
201451,after,0,1,167,1,1,49,5,16,0,0,0,1,1,0
201433,after,0,1,149,1,1,21,9,8,1,0,1,0,1,0
