WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201615,after,0,1,61,3,0,37,167,46,67,1,2,1,0,0
201506,before,1,0,-1,2,2,81,44,60,61,0,2,0,2,0
201603,after,0,1,49,3,2,67,78,60,80,0,0,3,0,2
201607,after,0,1,53,4,0,94,149,83,105,0,2,2,0,0
201602,after,0,1,48,5,2,79,106,53,78,0,2,3,2,0
201552,after,0,1,45,2,2,45,65,21,44,1,1,1,1,1
201604,after,0,1,50,1,4,147,138,67,104,0,1,0,1,3
201609,after,0,1,55,4,0,133,203,88,159,0,4,0,0,0
201606,after,0,1,52,1,0,110,168,97,119,1,1,0,0,0
201605,after,0,1,51,3,0,112,124,82,108,1,1,2,0,0
201549,after,0,1,42,3,5,117,78,36,48,3,3,0,3,2
201550,after,0,1,43,4,3,59,72,46,53,2,3,1,3,0
201613,after,0,1,59,2,0,109,164,46,80,1,1,1,0,0
201548,after,0,1,41,0,2,99,72,51,80,0,0,0,1,1
201547,after,0,1,40,2,2,93,72,35,53,0,2,0,2,0
201540,after,0,1,33,0,2,97,130,43,107,0,0,0,0,2
201536,after,0,1,29,5,4,204,123,119,155,0,3,2,3,1
201530,after,0,1,23,3,2,88,76,51,83,0,1,2,1,1
201537,after,0,1,30,1,0,118,130,85,109,0,0,1,0,0
201533,after,0,1,26,4,4,105,110,81,95,1,3,1,4,0
201529,after,0,1,22,1,2,143,73,75,96,0,1,0,2,0
201528,after,0,1,21,3,3,98,96,69,86,0,1,2,2,1
201527,after,0,1,20,4,1,104,55,46,83,1,1,3,1,0
201520,after,0,1,13,1,2,108,114,78,84,0,1,0,1,1
201532,after,0,1,25,3,2,87,111,91,100,0,2,1,2,0
201514,after,0,1,7,3,2,131,46,58,66,0,2,1,2,0
201531,after,0,1,24,3,5,69,77,56,80,0,1,2,1,4
201518,after,0,1,11,0,2,137,118,88,111,0,0,0,0,2
201513,after,0,1,6,3,3,386,88,51,69,1,3,0,3,0
201526,after,0,1,19,1,2,98,104,63,98,0,1,0,2,0
201517,after,0,1,10,2,4,102,67,76,86,0,2,0,3,1
201525,after,0,1,18,2,2,75,79,61,157,0,1,1,2,0
201516,after,0,1,9,6,6,253,97,89,120,5,4,2,6,0
201510,after,0,1,3,4,3,119,57,40,70,0,3,1,2,1
201508,after,0,1,1,1,4,81,55,56,62,0,1,0,1,3
201509,after,0,1,2,2,1,87,52,50,61,0,1,1,0,1
201507,during,0,0,0,2,4,63,47,51,51,0,2,0,2,2
201448,before,1,0,-11,4,4,63,59,34,57,2,3,1,4,0
201447,before,1,0,-12,2,2,42,31,19,41,0,2,0,1,1
201446,before,1,0,-13,1,1,53,39,22,27,0,1,0,1,0
201444,before,1,0,-15,1,1,44,77,22,49,0,0,1,0,1
201524,after,0,1,17,1,3,67,98,34,116,0,1,0,3,0
201505,before,1,0,-2,2,1,95,37,64,43,0,1,1,1,0
201546,after,0,1,39,1,1,89,72,49,44,0,0,1,0,1
201544,after,0,1,37,1,3,42,85,29,38,1,1,0,1,2
201545,after,0,1,38,2,1,137,130,42,56,0,0,2,0,1
201617,after,0,1,63,4,0,61,239,56,90,1,3,1,0,0
201543,after,0,1,36,5,8,111,100,69,67,2,3,2,3,5
201541,after,0,1,34,4,3,148,127,57,66,0,2,2,2,1
201539,after,0,1,32,1,1,85,175,69,184,0,0,1,0,1
201538,after,0,1,31,2,2,136,192,109,188,1,1,1,1,1
201534,after,0,1,27,3,3,112,86,66,89,0,0,3,0,3
201515,after,0,1,8,4,4,85,73,57,59,3,4,0,4,0
201511,after,0,1,4,3,3,128,51,66,79,1,2,1,2,1
201503,before,1,0,-4,4,3,111,139,70,124,2,1,3,1,2
201502,before,1,0,-5,4,2,126,46,53,70,2,2,2,2,0
201450,before,1,0,-9,1,2,83,65,43,56,2,1,0,2,0
201451,before,1,0,-8,1,0,107,100,77,101,1,1,0,0,0
201433,before,1,0,-26,0,1,153,78,74,157,0,0,0,0,1
201437,before,1,0,-22,1,1,123,100,89,107,0,0,1,0,1
201425,before,1,0,-34,6,1,57,20,26,72,0,1,5,0,1
201423,before,1,0,-36,0,1,129,47,100,104,0,0,0,1,0
201452,before,1,0,-7,2,5,32,36,16,36,0,1,1,3,2
201436,before,1,0,-23,1,3,168,170,120,108,0,1,0,1,2
201421,before,1,0,-38,5,2,451,39,63,83,1,2,3,2,0
201445,before,1,0,-14,4,3,49,21,24,38,0,2,2,2,1
201608,after,0,1,54,2,0,83,191,53,106,0,0,2,0,0
201553,after,0,1,46,1,2,34,52,18,29,0,1,0,1,1
201614,after,0,1,60,2,0,57,204,48,85,1,2,0,0,0
