WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201617,after,0,1,80,20,0,52,534,34,30,46,18,2,0,0
201618,after,0,1,81,1,0,0,55,0,0,0,1,0,0,0
201616,after,0,1,79,16,0,25,397,16,28,32,14,2,0,0
201615,after,0,1,78,20,0,18,372,14,19,42,18,2,0,0
201614,after,0,1,77,15,0,28,404,16,25,40,14,1,0,0
201613,after,0,1,76,22,0,27,287,21,28,41,21,1,0,0
201612,after,0,1,75,27,0,13,302,8,13,30,25,2,0,0
201611,after,0,1,74,23,0,20,508,17,25,41,17,6,0,0
201610,after,0,1,73,23,0,31,390,7,31,32,20,3,0,0
201609,after,0,1,72,18,0,20,275,14,25,34,16,2,0,0
201608,after,0,1,71,37,0,36,413,21,32,48,22,15,0,0
201607,after,0,1,70,14,0,23,391,9,35,49,13,1,0,0
201606,after,0,1,69,19,0,58,486,29,38,34,17,2,0,0
201605,after,0,1,68,17,0,16,184,12,28,36,14,3,0,0
201604,after,0,1,67,23,29,22,323,11,19,44,21,2,25,4
201603,after,0,1,66,20,28,31,339,22,33,21,17,3,21,7
201602,after,0,1,65,22,19,28,380,19,26,35,18,4,14,5
201601,after,0,1,64,17,31,18,448,9,20,42,15,2,23,8
201553,after,0,1,63,14,18,15,227,8,17,20,13,1,14,4
201552,after,0,1,62,9,8,11,166,7,23,18,8,1,7,1
201551,after,0,1,61,20,32,7,218,6,15,22,20,0,27,5
201550,after,0,1,60,15,20,17,265,14,24,34,13,2,14,6
201549,after,0,1,59,26,28,5,297,0,14,38,23,3,25,3
201548,after,0,1,58,23,28,6,215,3,15,27,20,3,24,4
201547,after,0,1,57,25,39,43,386,20,29,39,22,3,32,7
201546,after,0,1,56,25,27,24,398,23,19,35,22,3,21,6
201545,after,0,1,55,24,27,10,225,7,17,35,19,5,21,6
201544,after,0,1,54,34,35,15,355,7,20,52,30,4,30,5
201543,after,0,1,53,21,24,26,399,10,23,42,18,3,22,2
201542,after,0,1,52,27,24,36,390,16,30,46,22,5,19,5
201541,after,0,1,51,23,24,21,352,14,20,30,17,6,20,4
201540,after,0,1,50,12,15,22,254,7,15,25,10,2,13,2
201539,after,0,1,49,14,12,19,250,15,20,22,13,1,10,2
201538,after,0,1,48,12,20,36,294,15,34,33,9,3,13,7
201537,after,0,1,47,24,27,50,432,21,39,39,22,2,21,6
201536,after,0,1,46,12,32,51,500,40,35,33,11,1,22,10
201535,after,0,1,45,17,12,36,232,12,32,20,11,6,7,5
201534,after,0,1,44,18,22,57,504,27,32,32,12,6,14,8
201533,after,0,1,43,20,25,22,339,12,16,34,17,3,22,3
201532,after,0,1,42,19,20,13,338,9,14,38,16,3,16,4
201531,after,0,1,41,17,21,35,371,15,21,26,13,4,16,5
201530,after,0,1,40,23,26,23,326,15,18,29,21,2,21,5
201529,after,0,1,39,18,19,31,403,15,29,45,12,6,14,5
201528,after,0,1,38,14,19,15,200,12,12,34,10,4,15,4
201527,after,0,1,37,14,17,28,217,12,21,26,10,4,10,7
201526,after,0,1,36,22,23,25,287,9,25,38,18,4,18,5
201525,after,0,1,35,15,20,15,217,4,18,32,15,0,17,3
201524,after,0,1,34,12,16,22,288,14,15,30,12,0,13,3
201523,after,0,1,33,17,16,41,397,20,41,25,13,4,11,5
201522,after,0,1,32,16,16,13,213,10,16,23,14,2,12,4
201521,after,0,1,31,26,24,17,266,6,16,27,22,4,24,0
201520,after,0,1,30,18,19,23,311,7,23,41,15,3,14,5
201519,after,0,1,29,16,14,44,466,32,25,18,10,6,9,5
201518,after,0,1,28,15,17,32,296,21,28,30,13,2,15,2
201517,after,0,1,27,19,16,17,254,7,22,32,15,4,12,4
201516,after,0,1,26,29,25,47,357,26,47,30,19,10,16,9
201515,after,0,1,25,12,14,20,334,20,24,24,9,3,11,3
201514,after,0,1,24,21,25,42,288,14,24,45,18,3,20,5
201513,after,0,1,23,18,18,17,216,7,15,31,16,2,16,2
201512,after,0,1,22,11,11,23,199,5,20,22,7,4,8,3
201511,after,0,1,21,12,11,32,200,6,27,18,7,5,8,3
201510,after,0,1,20,14,17,22,354,21,14,32,13,1,13,4
201509,after,0,1,19,20,14,12,205,2,5,31,16,4,14,0
201508,after,0,1,18,11,13,11,218,10,14,23,11,0,12,1
201507,after,0,1,17,15,12,18,283,8,19,32,14,1,10,2
201506,after,0,1,16,23,24,17,219,11,19,33,19,4,21,3
201505,after,0,1,15,14,13,13,235,9,16,23,11,3,13,0
201504,after,0,1,14,19,21,22,404,8,21,41,17,2,16,5
201503,after,0,1,13,11,14,25,417,11,23,44,10,1,12,2
201502,after,0,1,12,9,10,7,239,9,8,20,6,3,7,3
201501,after,0,1,11,7,14,10,151,4,16,16,5,2,12,2
201452,after,0,1,10,15,8,13,199,8,13,27,12,3,7,1
201451,after,0,1,9,13,8,15,162,3,16,32,12,1,7,1
201450,after,0,1,8,9,13,16,206,5,14,25,7,2,10,3
201449,after,0,1,7,18,19,40,459,21,40,49,15,3,14,5
201448,after,0,1,6,25,16,30,315,10,33,33,13,12,9,7
201447,after,0,1,5,15,17,20,247,13,16,32,14,1,14,3
201446,after,0,1,4,19,14,24,398,10,27,42,13,6,10,4
201445,after,0,1,3,15,12,28,314,10,20,29,10,5,11,1
201444,after,0,1,2,18,19,27,418,8,26,48,14,4,17,2
201443,after,0,1,1,14,9,12,312,8,14,43,11,3,7,2
201442,during,0,0,0,5,8,25,216,10,21,20,5,0,7,1
201441,before,1,0,-1,21,20,36,358,12,29,39,18,3,16,4
201440,before,1,0,-2,13,17,42,436,21,30,36,13,0,13,4
201439,before,1,0,-3,18,17,31,383,12,34,30,13,5,11,6
201438,before,1,0,-4,13,16,33,506,17,30,47,11,2,13,3
201437,before,1,0,-5,14,19,29,567,22,24,38,8,6,10,9
201436,before,1,0,-6,17,13,29,327,10,24,33,11,6,10,3
201435,before,1,0,-7,10,10,21,245,11,17,27,7,3,9,1
201434,before,1,0,-8,12,10,29,291,17,26,32,9,3,8,2
201433,before,1,0,-9,15,15,24,511,11,29,38,12,3,12,3
201432,before,1,0,-10,17,13,37,620,10,36,36,14,3,12,1
201431,before,1,0,-11,14,10,22,462,11,18,36,13,1,9,1
201430,before,1,0,-12,9,7,24,386,19,17,27,6,3,6,1
