WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201536,after,0,1,30,7,7,21,55,0,17,3,5,2,6,1
201551,after,0,1,45,2,5,0,88,0,9,1,2,0,5,0
201552,after,0,1,46,2,4,0,21,0,3,1,2,0,4,0
201553,after,0,1,47,3,3,0,3,0,1,2,3,0,3,0
201546,after,0,1,40,4,3,2,21,0,2,3,3,1,3,0
201549,after,0,1,43,4,3,1,14,4,1,3,4,0,3,0
201539,after,0,1,33,3,5,0,11,0,2,2,3,0,4,1
201548,after,0,1,42,5,5,1,12,0,3,1,4,1,4,1
201538,after,0,1,32,2,2,41,27,0,1,2,2,0,2,0
201547,after,0,1,41,6,6,4,9,0,3,6,6,0,6,0
201542,after,0,1,36,3,3,0,11,0,1,2,3,0,3,0
201540,after,0,1,34,3,4,3,6,0,2,3,2,1,2,2
201610,after,0,1,57,5,0,0,13,0,4,5,5,0,0,0
201604,after,0,1,51,5,5,0,21,0,3,3,4,1,5,0
201603,after,0,1,50,5,3,0,11,0,4,3,5,0,3,0
201608,after,0,1,55,3,0,0,3,0,1,1,3,0,0,0
201607,after,0,1,54,2,0,0,5,0,2,3,2,0,0,0
201441,before,1,0,-17,5,1,40,27,0,0,10,5,0,1,0
201430,before,1,0,-28,4,3,54,18,0,2,6,4,0,3,0
201429,before,1,0,-29,4,2,34,13,1,0,4,4,0,2,0
201439,before,1,0,-19,0,0,22,21,0,0,2,0,0,0,0
201440,before,1,0,-18,1,1,32,15,0,1,5,1,0,1,0
201431,before,1,0,-27,2,3,74,10,0,1,6,2,0,2,1
201338,before,1,0,-72,3,1,18,9,0,0,7,3,0,1,0
201348,before,1,0,-62,4,4,33,17,0,0,12,4,0,4,0
201403,before,1,0,-55,1,3,13,13,0,0,6,1,0,3,0
201345,before,1,0,-65,4,5,45,46,1,0,17,4,0,5,0
201342,before,1,0,-68,4,3,73,40,0,2,23,4,0,3,0
201340,before,1,0,-70,5,8,75,36,2,4,16,2,3,5,3
201326,before,1,0,-84,2,2,21,30,0,2,7,1,1,2,0
201302,before,1,0,-108,0,0,75,28,0,0,17,0,0,0,0
201313,before,1,0,-97,4,1,98,34,8,1,15,3,1,1,0
201238,before,1,0,-124,0,1,97,13,0,0,6,0,0,1,0
