WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201542,before,1,0,-5,6,7,27,16,2,10,6,6,0,6,1
201538,before,1,0,-9,9,7,24,36,12,15,5,7,2,5,2
201530,before,1,0,-17,13,14,96,51,3,43,15,10,3,10,4
201537,before,1,0,-10,6,6,7,5,1,4,3,4,2,4,2
201535,before,1,0,-12,10,10,12,24,3,7,8,8,2,8,2
201528,before,1,0,-19,11,9,83,43,6,26,9,5,6,5,4
201520,before,1,0,-27,11,11,112,48,7,15,11,9,2,8,3
201519,before,1,0,-28,12,5,113,43,14,21,9,8,4,4,1
201446,before,1,0,-53,6,9,40,24,1,8,7,4,2,6,3
201445,before,1,0,-54,7,7,40,13,3,5,6,4,3,3,4
201430,before,1,0,-69,4,4,2,4,3,1,3,3,1,3,1
201432,before,1,0,-67,4,3,3,6,1,4,0,1,3,0,3
201427,before,1,0,-72,4,4,14,5,1,3,2,3,1,3,1
201512,before,1,0,-35,8,10,34,33,6,8,4,6,2,7,3
201433,before,1,0,-66,4,5,24,10,2,7,4,4,0,4,1
201424,before,1,0,-75,5,6,14,3,4,4,1,1,4,2,4
201548,after,0,1,1,7,9,34,34,8,14,2,5,2,8,1
201545,before,1,0,-2,11,8,12,26,0,7,10,10,1,8,0
201524,before,1,0,-23,3,5,41,17,6,18,3,3,0,4,1
201441,before,1,0,-58,3,3,14,9,0,2,3,3,0,3,0
201451,before,1,0,-48,5,3,39,23,2,6,6,3,2,3,0
201532,before,1,0,-15,9,10,23,21,2,5,5,8,1,7,3
201521,before,1,0,-26,8,7,66,17,2,4,7,8,0,7,0
201510,before,1,0,-37,4,1,17,12,2,4,2,4,0,1,0
201515,before,1,0,-32,4,6,28,27,0,10,5,3,1,4,2
201448,before,1,0,-51,8,3,43,10,3,4,6,7,1,3,0
201447,before,1,0,-52,4,3,36,7,4,5,6,3,1,2,1
201539,before,1,0,-8,8,13,34,18,9,14,6,5,3,7,6
201525,before,1,0,-22,7,7,38,20,3,13,6,7,0,7,0
201551,after,0,1,4,17,17,27,30,9,19,9,12,5,10,7
201526,before,1,0,-21,7,9,20,20,2,8,4,6,1,8,1
