WEEK_NUMBER,acq_cat,before_acq,after_acq,acq_diff,arrivals,departures,commits,comments,mergers,pullrequests,issues,arrivals_user,arrivals_dev,departures_user,departures_dev
201405,before,1,0,-46,0,0,43,21,1,5,6,0,0,0,0
201550,after,0,1,51,1,0,32,62,0,17,1,1,0,0,0
201533,after,0,1,34,0,0,86,36,0,10,0,0,0,0,0
201513,after,0,1,14,0,0,113,111,5,25,9,0,0,0,0
201509,after,0,1,10,0,0,61,50,0,11,10,0,0,0,0
201443,before,1,0,-8,1,0,65,77,0,10,9,0,1,0,0
201433,before,1,0,-18,0,0,82,61,0,5,6,0,0,0,0
201424,before,1,0,-27,1,1,35,57,0,5,14,1,0,1,0
201422,before,1,0,-29,0,0,54,94,0,4,4,0,0,0,0
201429,before,1,0,-22,0,0,73,42,0,7,7,0,0,0,0
201421,before,1,0,-30,0,0,78,63,0,9,6,0,0,0,0
201413,before,1,0,-38,0,0,58,45,13,7,3,0,0,0,0
201414,before,1,0,-37,0,0,89,48,0,6,5,0,0,0,0
201415,before,1,0,-36,0,0,60,82,0,7,3,0,0,0,0
201411,before,1,0,-40,0,0,95,34,0,7,5,0,0,0,0
201349,before,1,0,-54,0,0,137,59,14,5,12,0,0,0,0
201403,before,1,0,-48,0,0,38,25,0,6,2,0,0,0,0
201305,before,1,0,-98,0,0,31,15,1,3,3,0,0,0,0
201304,before,1,0,-99,1,0,40,31,2,7,2,0,1,0,0
201351,before,1,0,-52,0,0,67,37,0,9,7,0,0,0,0
201346,before,1,0,-57,0,0,137,46,0,5,3,0,0,0,0
201520,after,0,1,21,2,2,74,56,1,22,1,2,0,1,1
201426,before,1,0,-25,0,0,67,52,0,7,0,0,0,0,0
201425,before,1,0,-26,0,0,47,70,0,5,6,0,0,0,0
201339,before,1,0,-64,0,0,18,3,0,0,0,0,0,0,0
201410,before,1,0,-41,0,0,79,52,0,5,11,0,0,0,0
201250,before,1,0,-105,1,1,75,16,1,6,1,0,1,0,1
201241,before,1,0,-114,1,1,70,18,0,4,6,1,0,1,0
201239,before,1,0,-116,1,1,78,23,0,8,1,1,0,0,1
201242,before,1,0,-113,0,0,94,14,0,5,5,0,0,0,0
201522,after,0,1,23,0,0,94,34,0,18,0,0,0,0,0
201511,after,0,1,12,3,1,90,86,2,16,8,1,2,1,0
201505,after,0,1,6,0,0,55,62,1,14,11,0,0,0,0
201504,after,0,1,5,1,0,46,57,0,8,10,1,0,0,0
201503,after,0,1,4,0,2,91,144,2,20,15,0,0,1,1
201502,after,0,1,3,1,0,41,71,0,9,7,0,1,0,0
201449,before,1,0,-2,1,0,85,114,0,15,11,0,1,0,0
201423,before,1,0,-28,0,0,68,62,0,7,8,0,0,0,0
201420,before,1,0,-31,0,1,38,59,0,4,7,0,0,1,0
201551,after,0,1,52,1,0,15,23,0,16,0,1,0,0,0
201552,after,0,1,53,0,0,11,35,0,12,0,0,0,0,0
201553,after,0,1,54,0,0,20,25,0,4,0,0,0,0,0
201549,after,0,1,50,1,0,63,32,0,25,0,1,0,0,0
201548,after,0,1,49,0,0,45,41,0,18,0,0,0,0,0
201547,after,0,1,48,1,0,68,51,0,20,1,1,0,0,0
201546,after,0,1,47,0,0,61,47,0,9,0,0,0,0,0
201545,after,0,1,46,0,0,111,32,0,16,0,0,0,0,0
201544,after,0,1,45,0,0,82,33,0,15,0,0,0,0,0
201542,after,0,1,43,0,0,26,20,0,10,0,0,0,0,0
201543,after,0,1,44,0,0,49,24,0,9,0,0,0,0,0
201541,after,0,1,42,0,0,21,14,0,5,0,0,0,0,0
201540,after,0,1,41,0,0,89,58,0,19,0,0,0,0,0
201539,after,0,1,40,0,0,120,52,0,20,0,0,0,0,0
201538,after,0,1,39,0,1,86,47,0,17,0,0,0,1,0
201537,after,0,1,38,0,0,54,35,0,13,0,0,0,0,0
201535,after,0,1,36,0,0,109,84,0,19,0,0,0,0,0
201536,after,0,1,37,1,1,48,41,1,12,0,0,1,0,1
201531,after,0,1,32,0,0,74,54,2,14,0,0,0,0,0
201530,after,0,1,31,1,0,82,46,2,15,0,0,1,0,0
201529,after,0,1,30,0,0,82,33,0,18,0,0,0,0,0
201527,after,0,1,28,0,1,41,37,0,11,0,0,0,1,0
201528,after,0,1,29,1,1,45,36,0,11,1,1,0,1,0
201526,after,0,1,27,0,0,46,29,1,9,0,0,0,0,0
201523,after,0,1,24,0,0,50,18,0,7,0,0,0,0,0
201524,after,0,1,25,1,0,21,16,0,2,1,1,0,0,0
201521,after,0,1,22,0,0,77,48,0,16,0,0,0,0,0
201519,after,0,1,20,0,0,132,62,0,24,0,0,0,0,0
201518,after,0,1,19,0,2,136,60,3,11,0,0,0,2,0
201517,after,0,1,18,1,1,111,50,2,19,0,1,0,1,0
201516,after,0,1,17,0,2,101,92,3,18,7,0,0,1,1
201515,after,0,1,16,0,2,64,56,3,14,11,0,0,2,0
201514,after,0,1,15,1,0,70,39,2,10,6,0,1,0,0
201512,after,0,1,13,0,1,115,135,5,25,14,0,0,0,1
201510,after,0,1,11,0,1,89,77,0,15,11,0,0,0,1
201507,after,0,1,8,0,0,77,81,0,22,7,0,0,0,0
201506,after,0,1,7,0,0,79,62,4,19,9,0,0,0,0
201451,during,0,0,0,2,0,114,90,6,20,14,1,1,0,0
201452,after,0,1,1,1,0,67,54,2,8,3,1,0,0,0
201450,before,1,0,-1,1,2,104,170,1,16,11,1,0,2,0
201448,before,1,0,-3,0,0,47,68,2,13,7,0,0,0,0
201446,before,1,0,-5,3,1,68,105,1,15,6,2,1,1,0
201447,before,1,0,-4,0,1,70,85,1,8,9,0,0,0,1
201445,before,1,0,-6,0,0,66,108,2,15,11,0,0,0,0
201444,before,1,0,-7,1,1,46,104,3,11,11,1,0,1,0
201442,before,1,0,-9,0,1,95,84,9,12,8,0,0,1,0
201438,before,1,0,-13,0,0,46,45,0,7,11,0,0,0,0
201437,before,1,0,-14,0,0,96,65,0,9,13,0,0,0,0
201439,before,1,0,-12,0,0,39,69,0,2,7,0,0,0,0
201436,before,1,0,-15,1,0,68,61,0,3,9,1,0,0,0
201440,before,1,0,-11,1,0,37,47,2,4,2,0,1,0,0
201435,before,1,0,-16,1,0,115,66,0,5,9,1,0,0,0
201431,before,1,0,-20,0,0,105,61,0,10,1,0,0,0,0
201434,before,1,0,-17,2,1,26,33,0,5,5,2,0,1,0
201428,before,1,0,-23,1,1,16,18,0,4,5,1,0,1,0
201430,before,1,0,-21,0,0,48,42,0,5,7,0,0,0,0
201432,before,1,0,-19,0,0,75,27,0,5,4,0,0,0,0
201427,before,1,0,-24,0,0,83,33,0,5,7,0,0,0,0
201419,before,1,0,-32,0,0,33,65,0,8,9,0,0,0,0
201416,before,1,0,-35,0,0,78,32,0,4,7,0,0,0,0
